;x;y;t
0;;;0.0
1;445.0;199.0;0.06474614143371582
2;442.0;179.0;0.10674071311950684
3;434.0;166.0;0.1354377269744873
4;439.0;155.0;0.2012948989868164
5;456.0;195.0;0.2606041431427002
6;450.0;147.0;0.3226814270019531
7;454.0;140.0;0.38475823402404785
8;453.0;189.0;0.4444277286529541
9;458.0;187.0;0.5083634853363037
10;459.0;189.0;0.5691630840301514
11;463.0;153.0;0.6329648494720459
12;460.0;150.0;0.6929092407226562
13;463.0;141.0;0.7565217018127441
14;463.0;180.0;0.8232591152191162
15;464.0;143.0;0.8847081661224365
16;459.0;154.0;0.9445450305938721
17;461.0;195.0;1.0079436302185059
18;458.0;179.0;1.0677902698516846
19;458.0;145.0;1.1310040950775146
20;455.0;148.0;1.1906077861785889
21;454.0;163.0;1.2542788982391357
22;456.0;140.0;1.3162927627563477
23;454.0;147.0;1.3763856887817383
24;454.0;146.0;1.438802719116211
25;459.0;135.0;1.502035140991211
26;459.0;138.0;1.5648431777954102
27;463.0;134.0;1.6289985179901123
28;464.0;143.0;1.6910309791564941
29;476.0;127.0;1.7527861595153809
30;484.0;130.0;1.8162429332733154
31;491.0;136.0;1.878166675567627
32;498.0;146.0;1.9407708644866943
33;505.0;157.0;2.0047519207000732
34;510.0;169.0;2.0670406818389893
35;515.0;185.0;2.127866268157959
36;518.0;199.0;2.1918106079101562
37;519.0;215.0;2.25437068939209
38;515.0;229.0;2.3143908977508545
39;510.0;242.0;2.376537799835205
40;505.0;254.0;2.4373722076416016
41;494.0;261.0;2.5004513263702393
42;483.0;265.0;2.560333728790283
43;421.0;263.0;2.6243114471435547
44;408.0;255.0;2.686157464981079
45;400.0;242.0;2.7492480278015137
46;389.0;226.0;2.810920000076294
47;;;2.9404261112213135
48;382.0;198.0;2.9690158367156982
49;382.0;178.0;3.0000436305999756
50;386.0;160.0;3.155956506729126
51;;;3.186173915863037
52;;;3.21606183052063
53;401.0;137.0;3.278913736343384
54;412.0;126.0;3.3429617881774902
55;423.0;117.0;3.404585838317871
56;436.0;199.0;3.466705322265625
57;440.0;184.0;3.529914617538452
58;439.0;185.0;3.590468406677246
59;454.0;184.0;3.654677152633667
60;472.0;153.0;3.716525077819824
61;483.0;158.0;3.7479968070983887
62;484.0;157.0;3.811978816986084
63;490.0;166.0;3.8730130195617676
64;489.0;194.0;3.9367334842681885
65;498.0;194.0;3.999138116836548
66;497.0;209.0;4.063769578933716
67;496.0;223.0;4.1275551319122314
68;490.0;232.0;4.186049222946167
69;483.0;240.0;4.247327089309692
