;t;x;y;z
0;0.17484194040298462;440.5;181.25;75.74709682309005
1;0.21566367149353027;435.0;166.0;100.61795759100222
0;0.2774841785430908;444.75;141.0;96.59317388906629
1;0.31226158142089844;450.0;132.0;96.33875226993055
0;0.39548665285110474;458.75;123.5;95.13249148963848
1;0.44441914558410645;462.0;122.0;93.8430803866523
0;0.5313376784324646;465.0;122.25;91.68539712770519
1;0.5712900161743164;466.0;123.0;90.98754372909411
0;0.6627150177955627;466.0;124.75;89.07549709354156
1;0.710479736328125;466.0;125.0;88.74286540379815
0;0.778052568435669;464.0;124.75;87.15177301861358
1;0.809126615524292;463.0;124.0;85.39596074132022
0;0.8726261854171753;460.0;123.75;85.70945790951109
1;0.9066908359527588;459.0;123.0;85.8139569655747
0;0.9633201956748962;459.25;122.0;85.50045979738384
1;0.9944477081298828;460.0;121.0;85.39596074132022
0;1.0583797693252563;463.25;120.25;86.41084680561967
1;1.0890119075775146;466.0;120.0;86.62181243298022
0;1.1528872847557068;476.75;124.5;87.4761555791132
1;1.1843347549438477;483.0;129.0;87.48410477311583
0;1.2454626560211182;498.75;144.75;85.51398675606245
1;1.2761878967285156;506.0;156.0;87.92476554086731
0;1.3608801364898682;514.75;183.5;88.00642071618194
1;1.4024524688720703;518.0;197.0;86.74569391822736
0;1.4646156430244446;515.5;227.75;89.33644040297261
1;1.4946649074554443;511.0;241.0;90.19488874834687
0;1.5576082468032837;495.75;258.75;90.54781919976922
1;1.5894577503204346;485.0;264.0;91.46396205941228
0;1.698749601840973;399.25;240.0;93.0250704590904
1;1.7293674945831299;390.0;226.0;91.20237971177967
0;1.7924551367759705;382.25;198.0;91.62015105028392
1;1.8234450817108154;382.0;180.0;93.33933358069082
0;1.8842763900756836;388.0;154.25;95.26278020515673
1;1.9152405261993408;394.0;145.0;96.33875226993055
0;1.9799503684043884;411.75;126.0;92.8880337716373
1;2.010787010192871;423.0;117.0;89.6262721454729
0;2.071010172367096;442.25;115.5;84.27813261657333
1;2.103524923324585;445.0;116.0;83.31579982812373
0;2.165009558200836;473.5;137.0;86.10439973004915
1;2.1945412158966064;484.0;150.0;87.48410477311583
0;2.25847065448761;489.75;164.5;87.33430467961394
1;2.2905006408691406;495.0;179.0;87.64359709483591
0;2.3539807200431824;497.25;208.25;90.10034703633046
1;2.3847897052764893;496.0;221.0;90.50952147707464
0;2.446489632129669;484.25;238.25;90.15054509903261
1;2.4776406288146973;475.0;244.0;90.70338352058435
0;2.5395752787590027;450.75;243.5;89.87077854384503
1;2.571103572845459;438.0;239.0;87.37296361362706
0;2.6330851316452026;417.0;223.5;91.43859501635075
1;2.6643199920654297;409.0;208.0;89.28671456879115
0;2.725315809249878;402.75;183.75;90.58940867274832
1;2.7563841342926025;400.0;171.0;91.9293542196895
0;2.8201849460601807;409.5;146.5;93.01791780718173
1;2.851541042327881;414.0;140.0;96.33875226993055
0;2.9144617319107056;432.25;120.5;84.9890064329453
1;2.945629119873047;442.0;116.0;79.41442768568533
0;3.0086745619773865;461.25;120.5;84.94527806222655
1;3.0405383110046387;471.0;127.0;87.04983785476944
0;3.1054394245147705;485.0;146.0;86.29055542233522
1;3.137373685836792;491.0;159.0;86.74569391822736
0;3.1949636936187744;496.5;190.75;91.25492131853548
1;3.2287135124206543;497.0;208.0;93.4838333106787
0;3.2930142879486084;484.75;237.25;91.12593708844975
1;3.3253884315490723;467.0;252.0;89.90065254594911
0;3.382530152797699;438.25;247.5;87.76369387232826
1;3.408085346221924;430.0;243.0;90.01282299419914
0;3.475424289703369;403.25;219.0;88.47497150743268
1;3.506091833114624;393.0;202.0;86.66820736382623
0;3.5692949891090393;383.25;173.0;90.78381165968689
1;3.6021106243133545;384.0;158.0;92.39240587820969
0;3.6615905165672302;387.0;140.5;95.0936532989175
1;3.692749500274658;390.0;133.0;97.39928409919453
0;3.754424750804901;413.5;115.75;97.03062450615596
1;3.7856385707855225;427.0;111.0;95.31128236711996
0;3.848316252231598;440.25;112.75;94.087375938077
1;3.8794150352478027;453.0;115.0;89.38818674813754
0;3.9419464468955994;474.75;128.25;95.09792029827803
1;3.9729700088500977;485.0;137.0;93.39705508736232
0;4.035386443138123;501.5;162.25;91.25600024437509
1;4.066395998001099;508.0;174.0;90.14276015710126
0;4.1285353899002075;512.25;201.5;100.0846605533115
1;4.1601479053497314;510.0;214.0;96.32821141469448
0;4.224545896053314;494.5;233.25;93.59887283637175
1;4.257542848587036;483.0;239.0;89.86622067984888
0;4.316705167293549;454.0;240.0;88.73923890938262
1;4.34843897819519;437.0;236.0;90.615114085622
0;4.410911977291107;414.25;217.25;90.47286252883964
1;4.441910028457642;404.0;204.0;90.2296901345263
0;4.505019724369049;397.5;176.5;93.46832241240904
1;4.536594867706299;397.0;164.0;94.31519992156267
0;4.598794341087341;404.75;141.5;95.7309257157007
1;4.631379842758179;412.0;131.0;95.32150121188214
0;4.690943598747253;428.5;119.75;97.50512286159235
1;4.7220189571380615;438.0;116.0;96.84871231859117
0;4.783332347869873;459.25;119.0;92.59137762639965
1;4.814569473266602;469.0;124.0;91.58193710357288
0;4.878230392932892;484.75;143.0;92.33768561468464
1;4.909115791320801;490.0;155.0;91.98456245712542
0;4.9702147245407104;497.0;180.25;95.86359104526022
1;5.0003485679626465;500.0;195.0;112.0813758526956
0;5.063712120056152;492.5;223.25;92.86554113487917
1;5.094587087631226;488.0;235.0;92.07679193730176
0;5.15684300661087;465.25;243.0;89.31752014935155
1;5.188374996185303;441.0;241.0;90.615114085622
0;5.251219809055328;429.0;232.0;91.96049449730444
1;5.281369209289551;420.0;223.0;90.7122242936947
0;5.343176364898682;412.0;194.0;90.46860559328314
1;5.374777793884277;411.0;179.0;90.09071953218627
0;5.437339127063751;420.25;153.25;87.88813764367049
1;5.469021797180176;421.0;151.0;89.75458276272903
0;5.532128274440765;438.25;139.25;92.3364613908957
