;t;x;y;z
0;0.12555313110351562;440.5;181.25;75.74709682309005
1;0.15836310386657715;435.0;166.0;100.61795759100222
0;0.21657538414001465;444.75;140.75;96.21320734380825
1;0.24803829193115234;450.0;131.0;95.83656244693381
0;0.31170332431793213;459.0;123.5;94.86286100995159
1;0.34381103515625;462.0;122.0;93.8430803866523
0;0.40640419721603394;465.5;122.25;91.4568592361246
1;0.44103503227233887;466.0;123.0;90.07339216277177
0;0.4997375011444092;466.0;124.25;88.63645454056095
1;0.5308866500854492;466.0;125.0;88.30651533892363
0;0.5926860570907593;464.0;124.75;87.57887668952277
1;0.6229877471923828;463.0;124.0;85.39596074132022
0;0.6851392984390259;460.0;123.75;85.0162508254677
1;0.7152688503265381;459.0;123.0;85.39596074132022
0;0.7795434594154358;459.25;122.0;85.49294594943163
1;0.8120059967041016;460.0;121.0;85.78390157376583
0;0.8742159008979797;463.25;120.25;86.19988117825913
1;0.9056344032287598;466.0;120.0;86.19988117825913
0;0.9693222045898438;477.25;124.5;86.94749355697526
1;1.0006041526794434;484.0;129.0;86.23799052125689
0;1.1108952760696411;498.75;144.75;85.28511905179397
1;1.1426241397857666;506.0;156.0;87.104758425252
0;1.20648193359375;514.75;183.5;88.20694719513233
1;1.2379803657531738;518.0;197.0;87.54779983402895
0;1.2979384660720825;515.5;227.75;89.46356409603199
1;1.326436996459961;511.0;241.0;90.70338352058435
0;1.3892553448677063;495.75;258.75;91.00453958092743
1;1.4197063446044922;485.0;264.0;91.46396205941228
0;1.5289639830589294;399.25;240.0;93.0250704590904
1;1.5604002475738525;390.0;226.0;91.20237971177967
0;1.624459683895111;382.25;198.0;91.14620096935086
1;1.6545164585113525;382.0;180.0;92.38307793963196
0;1.7171990275382996;388.5;154.5;95.37854311978677
1;1.7494356632232666;394.0;145.0;96.33875226993055
0;1.809090256690979;412.0;126.0;92.30315816637837
1;1.8395156860351562;423.0;117.0;88.74286540379815
0;1.9038916230201721;442.25;115.25;83.52368882366802
1;1.9348807334899902;445.0;115.0;82.20022187423446
0;1.998171329498291;473.75;136.75;85.58913545018493
1;2.028240442276001;485.0;149.0;85.8139569655747
0;2.091505706310272;489.75;164.5;86.73130692430588
1;2.124028205871582;495.0;179.0;87.64359709483591
0;2.1857380270957947;497.25;207.75;89.85593994354231
1;2.2191994190216064;496.0;221.0;90.50952147707464
0;2.2799089550971985;484.25;238.25;90.02637047831374
1;2.3107192516326904;475.0;244.0;90.70338352058435
0;2.374926209449768;450.75;243.5;89.46941305652742
1;2.4061992168426514;438.0;239.0;87.37296361362706
0;2.469738483428955;417.0;223.25;91.3057343011526
1;2.5021889209747314;409.0;208.0;89.28671456879115
0;2.5627297163009644;403.0;183.75;90.92907163262531
1;2.5926153659820557;401.0;171.0;92.38307793963196
0;2.6556490659713745;410.25;147.0;92.89756551382297
1;2.689926862716675;415.0;140.0;95.83656244693381
0;2.7492695450782776;432.75;120.0;84.63951689805805
1;2.7815589904785156;442.0;115.0;78.64623536244554
0;2.8428168296813965;462.0;120.25;84.75389564767266
1;2.8734078407287598;471.0;127.0;87.04983785476944
0;2.944992780685425;485.5;145.75;85.77341107051531
1;2.984316825866699;491.0;158.0;85.52966697171856
0;3.0451942086219788;496.5;191.0;90.82280468335273
1;3.074857473373413;497.0;209.0;92.5795446922362
0;3.137796401977539;484.75;237.25;91.12593708844975
1;3.168537139892578;467.0;252.0;89.90065254594911
0;3.2310110330581665;438.25;247.5;87.76369387232826
1;3.26187801361084;430.0;243.0;90.01282299419914
0;3.324356257915497;403.25;219.0;88.27645971738704
