;t;x;y;z
0;0.14136254787445068;440.5;181.25;75.74709682309005
1;0.17571449279785156;435.0;166.0;100.61795759100222
0;0.2375761866569519;444.75;140.75;96.21320734380825
1;0.26776981353759766;450.0;131.0;95.83656244693381
0;0.32915258407592773;459.0;123.5;94.86286100995159
1;0.36040782928466797;462.0;122.0;93.8430803866523
0;0.4229416847229004;465.5;122.25;91.4568592361246
1;0.45391178131103516;466.0;123.0;90.07339216277177
0;0.5166815519332886;466.0;124.25;88.63645454056095
1;0.5465259552001953;466.0;125.0;88.30651533892363
0;0.6100893020629883;464.0;124.75;87.57887668952277
1;0.640866756439209;463.0;124.0;85.39596074132022
0;0.7024903297424316;460.0;123.75;85.0162508254677
1;0.733440637588501;459.0;123.0;85.39596074132022
0;0.7957535982131958;459.25;122.0;85.49294594943163
1;0.8269844055175781;460.0;121.0;85.78390157376583
0;0.8907614946365356;463.25;120.25;86.19988117825913
1;0.9224722385406494;466.0;120.0;86.19988117825913
0;0.9838144183158875;477.25;124.5;86.94749355697526
1;1.0140390396118164;484.0;129.0;86.23799052125689
0;1.0762112736701965;498.75;144.75;85.28511905179397
1;1.1067333221435547;506.0;156.0;87.104758425252
0;1.1680464148521423;514.75;183.5;88.20694719513233
1;1.1986138820648193;518.0;197.0;87.54779983402895
0;1.2605023980140686;515.5;227.75;89.46356409603199
1;1.2923705577850342;511.0;241.0;90.70338352058435
0;1.3557202816009521;495.75;258.75;91.00453958092743
1;1.3878278732299805;485.0;264.0;91.46396205941228
0;1.5182552337646484;399.25;240.0;93.0250704590904
1;1.556715726852417;390.0;226.0;91.20237971177967
0;1.6193371415138245;382.25;198.0;91.14620096935086
1;1.6508090496063232;382.0;180.0;92.38307793963196
0;1.7125129103660583;388.5;154.5;95.37854311978677
1;1.7437429428100586;394.0;145.0;96.33875226993055
0;1.8059412837028503;412.0;126.0;92.30315816637837
1;1.836909294128418;423.0;117.0;88.74286540379815
0;1.899082899093628;442.25;115.25;83.52368882366802
1;1.9295597076416016;445.0;115.0;82.20022187423446
0;1.9915944337844849;473.75;136.75;85.58913545018493
1;2.022824764251709;485.0;149.0;85.8139569655747
0;2.084300935268402;489.75;164.5;86.73130692430588
1;2.115460157394409;495.0;179.0;87.64359709483591
0;2.177370607852936;497.25;207.75;89.85593994354231
1;2.20751953125;496.0;221.0;90.50952147707464
0;2.269226908683777;484.25;238.25;90.02637047831374
1;2.300717353820801;475.0;244.0;90.70338352058435
0;2.3645660877227783;450.75;243.5;89.46941305652742
1;2.395479917526245;438.0;239.0;87.37296361362706
0;2.4579392075538635;417.0;223.25;91.3057343011526
1;2.4897074699401855;409.0;208.0;89.28671456879115
0;2.5508100986480713;403.0;183.75;90.92907163262531
1;2.5816502571105957;401.0;171.0;92.38307793963196
0;2.6451491117477417;410.25;147.0;92.89756551382297
1;2.675694227218628;415.0;140.0;95.83656244693381
0;2.738405227661133;432.75;120.0;84.63951689805805
1;2.7709317207336426;442.0;115.0;78.64623536244554
0;2.8351584672927856;462.0;120.25;84.75389564767266
1;2.8664937019348145;471.0;127.0;87.04983785476944
0;2.9240583777427673;485.5;145.75;85.77341107051531
1;2.956510543823242;491.0;158.0;85.52966697171856
0;3.018181562423706;496.5;191.0;90.82280468335273
1;3.04880428314209;497.0;209.0;92.5795446922362
0;3.1126641035079956;484.75;237.25;91.12593708844975
1;3.143906354904175;467.0;252.0;89.90065254594911
0;3.2073059678077698;438.25;247.5;87.76369387232826
1;3.237668991088867;430.0;243.0;90.01282299419914
0;3.300106167793274;403.25;219.0;88.27645971738704
1;3.332582950592041;393.0;202.0;85.87416020364364
0;3.3931130170822144;383.5;173.0;90.67259024760475
1;3.425539970397949;384.0;158.0;92.39240587820969
0;3.4885955452919006;387.0;140.25;94.2350732844245
1;3.5174081325531006;390.0;133.0;97.39928409919453
0;3.5786526799201965;413.5;115.75;96.90313449399082
1;3.6104226112365723;427.0;111.0;95.31128236711996
0;3.671795070171356;440.5;112.5;92.75769614617867
1;3.703474521636963;453.0;115.0;88.56921935513186
0;3.7638423442840576;475.0;128.0;94.97371633956053
1;3.7945213317871094;486.0;136.0;92.90023925249231
0;3.8560842275619507;502.0;162.0;90.45148493863684
1;3.888406991958618;508.0;174.0;89.28671456879115
0;3.9667317271232605;512.25;201.5;98.11790559220742
1;4.002637624740601;509.0;214.0;94.34493838727975
0;4.098285377025604;494.5;233.25;93.45509673061804
1;4.1438751220703125;483.0;239.0;89.86622067984888
0;4.220265448093414;454.0;239.75;88.40271005041726
1;4.254337310791016;437.0;236.0;89.75458276272903
0;4.334644198417664;414.5;217.75;90.38608465974863
1;4.368767738342285;404.0;204.0;88.91751033982548
0;4.430066823959351;397.75;176.5;93.12235298327347
1;4.460298538208008;397.0;164.0;94.31519992156267
0;4.521924793720245;405.0;141.75;94.150668855064
1;4.55344557762146;412.0;132.0;95.32150121188214
0;4.614631831645966;429.0;119.75;96.98792985906951
1;4.646775484085083;439.0;116.0;95.81580360129223
0;4.707716226577759;459.25;119.0;92.95600312899704
1;4.739717960357666;469.0;124.0;94.34493838727975
0;4.802445769309998;484.75;143.0;91.77170575801517
1;4.831346750259399;490.0;155.0;91.50021474796485
