;t;x;y;z
0;2.0718764662742615;418.75;160.0;71.73671120101005
1;2.2988810539245605;353.0;163.0;102.34834444405924
0;2.69980525970459;396.5;156.25;115.79086446812897
1;3.099982976913452;424.0;137.0;93.33933358069082
0;4.860489666461945;385.75;172.5;93.70997847586507
1;9.851726531982422;279.0;221.0;78.9096841130279
0;9.942874729633331;260.75;175.0;69.39151547949102
1;9.995875358581543;252.0;161.0;65.80639029708144
0;10.111093938350677;235.5;153.0;61.911983856214185
1;10.155998229980469;228.0;149.0;59.835511330145174
0;10.26204138994217;183.75;133.25;53.97911530772225
1;10.316923141479492;178.0;131.0;52.51917134049426
0;10.421204924583435;165.0;130.0;50.82040821536053
1;10.476413011550903;158.0;130.0;50.28895080245146
0;10.588401317596436;137.25;163.0;49.48897227645429
1;10.637607097625732;137.0;174.0;49.80553136378887
0;10.735334992408752;157.75;197.5;51.70281217159868
1;10.781349182128906;184.0;213.0;53.48973562255828
0;10.886907577514648;200.25;219.5;52.07031525614988
1;10.937789916992188;209.0;223.0;51.08748186491538
0;11.045449614524841;247.75;264.25;54.15839683292429
1;11.091516017913818;270.0;277.0;53.750250600868156
0;11.20737075805664;311.5;288.25;51.968429168362135
1;11.2591073513031;330.0;287.0;52.771492160459104
0;11.355471968650818;378.5;233.75;50.72655437933598
1;11.404049396514893;415.0;209.0;48.084933324805895
0;11.498160779476166;422.5;163.25;48.465143239086316
1;11.544554948806763;421.0;142.0;47.51548696118385
0;11.640231728553772;387.5;104.0;46.03505294875647
1;11.68803358078003;329.0;91.0;49.883875225048996
0;11.78622716665268;270.25;121.25;46.43185069387676
1;11.832680463790894;234.0;164.0;49.03258843076403
0;11.935608804225922;209.25;223.0;49.30903449818374
1;11.987157106399536;232.0;304.0;50.70056444109039
0;12.07881897687912;194.0;316.25;52.59925905509007
1;12.130321264266968;181.0;322.0;53.352419832815826
0;12.260631084442139;134.75;261.5;61.03445755501271
1;12.372798204421997;93.0;146.0;62.61833223906744
0;12.548976480960846;167.0;158.5;47.829310209649464
1;12.598057746887207;195.0;190.0;49.90236148095405
0;12.699992716312408;144.25;215.0;53.23031539111926
1;12.750539541244507;176.0;316.0;61.68444265848405
0;12.846904754638672;226.25;311.0;55.473555295268895
1;12.893613338470459;262.0;298.0;54.15100621525245
0;12.99184399843216;287.75;246.75;51.714173400194554
1;13.03995394706726;305.0;218.0;51.59155317680986
0;13.137050092220306;323.0;130.0;45.698601166874795
1;13.190423488616943;310.0;111.0;45.47653813753145
0;13.301962018013;263.5;96.0;42.707591229626935
1;13.35211992263794;212.0;104.0;42.823903584987846
0;13.446368038654327;195.0;293.0;52.19099351834765
1;13.49714970588684;191.0;307.0;50.023012210136784
0;13.614706754684448;100.75;274.5;53.44578743768176
1;13.664416551589966;17.0;225.0;53.05686631237141
0;13.75801706314087;-6.75;141.5;41.056786862418946
1;13.801616668701172;-9.0;101.0;35.82140933669051
0;13.906072437763214;59.25;123.25;39.859990634709746
1;13.960456848144531;214.0;223.0;52.127945327244085
0;14.07050734758377;238.25;230.0;48.18484790123674
1;14.1240873336792;229.0;221.0;47.54222140636873
0;14.221936762332916;249.25;315.25;46.23887749356411
1;14.269663572311401;300.0;327.0;51.92078288691687
0;14.493480563163757;450.25;181.5;45.86143171324582
1;14.54136848449707;496.0;152.0;42.5902151888701
0;14.657402217388153;499.75;170.5;45.94087743412858
1;14.708711624145508;486.0;211.0;51.32515452844068
