;x;y;z;t
0;;;;0
1;440;181;0;0.166554451
2;438;189;119.740711;0.214613914
3;440;155;101.7619225;0.270621061
4;445;141;97.37752046;0.335428953
5;450;132;96.84871232;0.402824402
6;456;126;97.47556896;0.474424362
7;459;123;94.85472285;0.552498579
8;462;122;93.84308039;0.619587183
9;464;122;92.86234188;0.683605671
10;465;122;91.44585145;0.759949923
11;466;123;90.98754373;0.839312792
12;466;124;90.07339216;0.902315378
13;466;124;89.18557836;0.973143816
14;466;125;88.7428654;1.037129641
15;465;125;88.30651534;1.109461546
16;464;125;88.30651534;1.157746553
17;463;124;85.39596074;1.205886602
18;461;124;85.39596074;1.277857542
19;460;124;85.81395697;1.334402323
20;459;123;85.81395697;1.394463539
21;459;123;85.81395697;1.458959341
22;459;122;85.39596074;1.519886971
23;460;121;85.39596074;1.60525322
24;461;121;86.62181243;1.691422939
25;463;120;86.19988118;1.74734354
26;466;120;86.62181243;1.80334115
27;470;121;87.452308;1.875343323
28;477;124;87.48410477;1.931340933
29;483;129;87.48410477;2.004303932
30;491;135;83.9291616;2.052894354
31;499;144;85.10100994;2.119526625
32;506;156;87.10475843;2.172110319
33;511;169;88.37197776;2.222855091
34;515;184;88.4540056;2.294618845
35;518;197;87.19126718;2.350811958
36;519;214;88.10285525;2.405890942
37;516;228;89.52400881;2.47452569
38;511;241;90.19488875;2.526542187
39;506;251;88.85918379;2.578639746
40;496;260;90.93406548;2.650784254
41;485;264;91.46396206;2.72225523
42;409;253;93.66780842;2.892056704
43;398;239;92.37375275;2.943656921
44;390;226;91.20237971;2.986528873
45;385;213;90.61511409;3.034928799
46;381;199;91.02324701;3.086616039
47;382;179;92.86234188;3.147524834
48;386;160;91.92935422;3.212451696
49;387;156;96.39150717;3.269665003
50;393;145;96.33875227;3.327050209
51;401;137;99.01605205;3.385204554
52;412;125;91.45490545;3.441327572
53;423;117;89.62627215;3.510396004
54;434;114;85.10100994;3.576686144
55;445;116;85.10100994;3.644412279
56;445;116;83.31579983;3.710018873
57;456;120;85.44788497;3.79165411
58;477;139;85.52966697;3.858204126
59;484;150;87.48410477;3.929392099
60;484;151;87.48410477;4.012019157
61;490;164;87.10475843;4.088774681
62;495;179;87.64359709;4.167901039
63;497;194;89.86622068;4.245193005
64;498;208;89.52400881;4.318940401
65;496;221;90.50952148;4.395123243
66;492;231;90.50952148;4.473853588
67;485;239;89.6946377;4.551515341
68;475;244;90.70338352;4.623056412
69;463;245;90.70338352;4.694725037
70;451;245;90.70338352;4.76816988
71;438;239;87.37296361;4.847255707
72;427;235;93.24336236;4.930716991
73;416;225;91.34643014;4.994786024
74;409;208;89.28671457;5.080467463
75;407;196;90.14276016;5.154305935
76;402;184;90.14276016;5.234589338
77;400;171;91.92935422;5.317746401
78;404;156;91.91097299;5.401221514
79;410;145;92.86234188;5.481400967
80;414;140;96.33875227;5.554926634
81;423;128;84.77272373;5.626958609
82;432;119;87.452308;5.7074821
83;442;116;79.41442769;5.780022144
84;452;117;85.02773638;5.851628065
85;461;120;84.26220672;5.925811052
86;471;127;87.04983785;6.005424738
87;479;135;86.66820736;6.078946829
88;486;145;85.8741602;6.167047739
89;491;158;86.30671162;6.248832941
90;495;173;88.37197776;6.330278635
91;497;191;91.5819371;6.392346621
92;497;208;92.57954469;6.452172756
93;494;223;91.20237971;6.519970655
94;489;237;92.57954469;6.580736876
95;467;252;89.90065255;6.640474319
96;443;251;87.64359709;6.712114573
97;440;248;86.6991777;6.767937422
98;430;243;90.01282299;6.811466455
99;414;237;89.90065255;6.84520793
100;403;219;88.91751034;6.885262251
101;393;202;86.66820736;6.937395096
102;386;188;88.7677533;6.986676216
103;382;173;91.44585145;7.016667366
104;384;158;92.39240588;7.066303015
105;386;145;93.33933358;7.114756823
106;386;143;94.81444849;7.164909124
107;390;133;97.3992841;7.206338882
108;397;124;96.84871232;7.243282557
109;415;114;97.98125167;7.281306505
110;427;111;95.31128237;7.319504976
111;426;112;96.33875227;7.376909733
112;441;112;94.81444849;7.425841331
113;453;115;88.10285525;7.469912529
114;464;120;95.32150121;7.527713299
115;475;128;95.83656245;7.586013556
116;485;137;93.39705509;7.645736456
117;494;149;92.4764814;7.702628136
118;502;163;91.20237971;7.746803045
119;508;174;90.14276016;7.793259382
120;512;188;91.50021475;7.844819069
121;514;202;106.255108;7.901941776
122;510;214;96.32821141;7.960507631
123;505;226;104.7968293;8.020548105
124;495;234;89.86622068;8.080236912
125;483;239;89.86622068;8.137091875
126;471;241;89.86622068;8.195479393
127;454;241;86.99501838;8.266303062
128;437;236;90.61511409;8.328713179
129;425;231;91.20237971;8.387503624
130;414;217;91.0947766;8.442761183
131;404;204;90.22969013;8.5116539
132;399;188;91.91097299;8.590863943
133;397;177;93.82355837;8.64846468
134;397;164;94.31519992;8.714229584
135;399;153;97.89275595;8.762620211
136;404;141;94.85472285;8.80308342
137;412;131;95.32150121;8.858857632
138;418;125;98.4384912;8.930493593
139;429;119;96.84871232;9.007960558
140;438;116;96.84871232;9.085576057
141;450;116;94.81444849;9.164693117
142;459;118;92.4764814;9.23591423
143;469;124;92.97616982;9.299361944
144;478;133;93.90171775;9.35923171
145;485;142;91.98456246;9.430528402
146;490;154;91.50021475;9.505472183
147;494;166;90.14276016;9.578673363
148;497;180;90.61511409;9.655647993
149;500;195;106.255108;9.723944664
150;496;210;91.5819371;9.785995483
151;492;224;92.4764814;9.85482955
152;489;234;91.98456246;9.903986454
153;480;241;89.04287358;9.960995913
154;470;245;89.04287358;10.039819
155;441;241;90.61511409;10.09991598
156;430;235;92.97616982;10.18022466
157;433;235;92.07679194;10.26263309
158;420;223;90.71222429;10.33595276
159;413;207;90.55347467;10.40902901
160;412;195;90.61511409;10.4899745
161;411;179;90.98754373;10.57087612
162;414;160;89.62627215;10.64323163
163;424;152;86.85451608;10.71038771
164;421;151;89.75458276;10.78274083
165;429;145;92.4764814;10.85940409
166;438;139;92.4764814;10.92858911
167;448;136;93.84308039;11.00904632
168;459;136;92.90023925;11.07357121
169;459;135;93.34894659;11.12953424
170;467;139;91.02324701;11.20194507
171;477;146;92.41107002;11.27388334
172;490;161;89.75458276;11.33958912
173;496;172;91.98456246;11.41166925
174;500;184;91.5819371;11.49325395
175;500;197;93.48383331;11.55974078
176;499;208;93.09040657;11.6320529
177;496;217;90.01282299;11.71486998
178;489;224;90.84513887;11.7858696
