;t;x;y;z
0;0.216600835;439.0;178.5;85.31083612500001
1;0.270621061;440.0;155.0;101.7619225
0;0.40387552975;450.25;132.75;97.13762851500002
1;0.474424362;456.0;126.0;97.47556896
0;0.618819654;461.75;122.25;93.85080637749999
1;0.683605671;464.0;122.0;92.86234188
0;0.83522272125;465.75;123.0;90.87358276750001
1;0.902315378;466.0;124.0;90.07339216
0;1.039216161;465.75;124.75;88.744456125
1;1.109461546;465.0;125.0;88.30651534
0;1.21184432475;462.75;124.25;86.12359939000001
1;1.277857542;461.0;124.0;85.39596074
0;1.3955721854999998;459.25;123.25;85.81395697
1;1.458959341;459.0;123.0;85.81395697
0;1.6054540874999998;460.0;121.25;85.7024236625
1;1.691422939;461.0;121.0;86.62181243
0;1.80734229075;466.25;120.25;86.72395351
1;1.875343323;470.0;121.0;87.452308
0;1.99821078775;483.5;129.25;86.5953689775
1;2.052894354;491.0;135.0;83.9291616
0;2.1716505885;505.5;156.25;86.92062614
1;2.222855091;511.0;169.0;88.37197776
0;2.35053342575;517.5;198.0;87.7348488025
1;2.405890942;519.0;214.0;88.10285525
0;2.5265624525;511.0;240.25;89.69324252499999
1;2.578639746;506.0;251.0;88.85918379
0;2.7468378545;468.75;260.25;91.88244950500001
1;2.892056704;409.0;253.0;93.66780842
0;2.9879108665;390.75;226.0;91.348406565
1;3.034928799;385.0;213.0;90.61511409
0;3.14852935075;382.75;179.25;92.16932124750001
1;3.212451696;386.0;160.0;91.92935422
0;3.3272424937499996;393.5;145.75;97.02126593999999
1;3.385204554;401.0;137.0;99.01605205
0;3.509701431;423.0;118.25;88.9521149225
1;3.576686144;434.0;114.0;85.10100994
0;3.7140260337499997;447.75;117.0;84.2951236425
1;3.79165411;456.0;120.0;85.44788497
0;3.93225187025;482.25;147.5;86.99549531999999
1;4.012019157;484.0;151.0;87.48410477
0;4.167442441;494.25;179.0;88.06454332249999
1;4.245193005;497.0;194.0;89.86622068
0;4.39576011875;495.5;220.25;90.2631433125
1;4.473853588;492.0;231.0;90.50952148
0;4.6230883005;474.5;243.0;90.451197065
1;4.694725037;463.0;245.0;90.70338352
0;4.84834957125;438.5;239.5;89.673168275
1;4.930716991;427.0;235.0;93.24336236
0;5.07750672125;410.25;209.25;90.01565485999998
1;5.154305935;407.0;196.0;90.14276016
0;5.3178259135;401.5;170.5;91.47811039749999
1;5.401221514;404.0;156.0;91.91097299
0;5.554553211;415.25;138.25;92.5781425375
1;5.626958609;423.0;128.0;84.77272373
0;5.77978861325;442.0;117.0;82.82722494000001
1;5.851628065;452.0;117.0;85.02773638
0;6.00390183925;470.5;127.25;86.257522445
1;6.078946829;479.0;135.0;86.66820736
0;6.248748064;490.75;158.5;86.7148903
1;6.330278635;495.0;173.0;88.37197776
0;6.4541656970000005;496.25;207.5;91.9858515475
1;6.519970655;494.0;223.0;91.20237971
0;6.6434500217500005;466.5;248.0;90.00611172
1;6.712114573;443.0;251.0;87.64359709
0;6.8090195655;428.5;242.75;89.1563690575
1;6.84520793;414.0;237.0;89.90065255
0;6.93668216475;393.75;202.75;87.75541959
1;6.986676216;386.0;188.0;88.7677533
0;7.06600755475;384.0;158.5;92.3924991975
1;7.114756823;386.0;145.0;93.33933358
0;7.20521736125;390.75;133.25;96.6154322525
1;7.243282557;397.0;124.0;96.84871232
0;7.324306547499999;423.75;112.0;96.23564217
1;7.376909733;426.0;112.0;96.33875227
0;7.473344922000001;452.75;115.5;91.58541505000001
1;7.527713299;464.0;120.0;95.32150121
0;7.6450286510000005;484.75;137.75;93.7767885075
1;7.702628136;494.0;149.0;92.4764814
0;7.794535219499999;507.5;174.75;90.747028695
1;7.844819069;512.0;188.0;91.50021475
0;7.9608762857499995;509.75;214.0;100.92709003
1;8.020548105;505.0;226.0;104.7968293
0;8.137475013749999;483.0;238.25;89.86622068
1;8.195479393;471.0;241.0;89.86622068
0;8.327808261000001;438.25;236.0;89.8569065675
1;8.387503624;425.0;231.0;91.20237971
0;8.5142332315;405.25;203.25;90.8662824625
1;8.590863943;399.0;188.0;91.91097299
0;8.70988601475;397.5;164.5;95.08667854
1;8.762620211;399.0;153.0;97.89275595
0;8.86282306925;411.5;132.0;95.9840541175
1;8.930493593;418.0;125.0;98.4384912
0;9.08595144725;438.75;116.75;96.34014636250001
1;9.164693117;450.0;116.0;94.81444849
0;9.298467457000001;468.75;124.75;93.0826346975
1;9.35923171;478.0;133.0;93.90171775
0;9.505036532750001;489.75;154.0;91.28193802999999
1;9.578673363;494.0;166.0;90.14276016
0;9.722383201;498.25;195.0;98.67681679750001
1;9.785995483;496.0;210.0;91.5819371
0;9.90594959275;487.5;233.25;91.372119975
1;9.960995913;480.0;241.0;89.04287358
0;10.104968905;445.5;240.5;90.812317895
1;10.18022466;430.0;235.0;92.97616982
0;10.335891904999999;421.5;222.0;91.0136787975
1;10.40902901;413.0;207.0;90.55347467
0;10.5687395925;412.0;178.25;90.55411842500001
1;10.64323163;414.0;160.0;89.62627215
0;10.783818364999998;423.75;149.75;89.71004075
1;10.85940409;429.0;145.0;92.4764814
0;11.005063239999998;448.25;136.75;93.26572035749999
1;11.07357121;459.0;136.0;92.90023925
0;11.20182693;467.5;139.75;91.95162765750001
1;11.27388334;477.0;146.0;92.41107002
0;11.4140453925;495.5;172.25;91.326411195
1;11.49325395;500.0;184.0;91.5819371
0;11.63467914;498.5;207.5;92.41936736
1;11.71486998;496.0;217.0;90.01282299
0;11.86028391;478.5;230.25;89.8969485475
1;11.92306542;467.0;235.0;89.6946377
0;12.062582672500001;448.5;235.5;91.9965954125
1;12.14502549;438.0;237.0;93.99968513
0;12.2994753725;402.25;215.0;89.84980258249999
1;12.37589836;392.0;203.0;90.14276016
0;12.520861567499999;380.0;182.75;91.69884994750001
1;12.59888434;377.0;171.0;92.86234188
0;12.753907262499999;373.75;150.25;92.912035875
1;12.83200383;373.0;141.0;93.90171775
0;12.9711967725;373.75;127.75;94.44136835249999
1;13.03337836;373.0;126.0;94.93542182
0;13.194253625000002;375.0;118.5;94.5255434625
1;13.26754713;374.0;118.0;92.90023925
0;13.41705662;373.0;122.0;93.3299794
1;13.48586583;372.0;125.0;91.98456246
0;13.6384832275;370.0;135.25;92.1506549675
1;13.71110606;369.0;142.0;90.57987655
0;13.8312240825;369.25;163.25;90.14276016
1;13.89544344;370.0;176.0;90.14276016
0;14.04538947;368.0;203.0;89.21649062249999
1;14.11591911;367.0;215.0;89.65189137
0;14.2613779325;363.75;233.5;90.194929895
1;14.31551933;363.0;234.0;90.09071953
0;14.484021482500001;360.25;230.75;90.66314358000001
1;14.5664196;360.0;230.0;91.45490545
0;14.7149075825;356.5;218.0;91.796956105
1;14.79902601;353.0;206.0;91.91097299
0;14.927330020000001;348.25;192.0;93.12949852
1;14.99943805;346.0;184.0;92.39240588
0;15.16557801;336.75;156.25;91.731166955
1;15.25068951;332.0;144.0;92.4390869
0;15.398946107500002;324.75;123.25;95.00381327
1;15.48071432;321.0;115.0;95.52655299
0;15.6172599175;318.25;105.0;95.1439174175
